"","sample_id","group","batch"
"GSM537382","GSM537382","metastasis","GEO"
"GSM537383","GSM537383","primary","GEO"
"GSM537384","GSM537384","metastasis","GEO"
"GSM537385","GSM537385","metastasis","GEO"
"GSM537386","GSM537386","primary","GEO"
"GSM537387","GSM537387","metastasis","GEO"
"GSM537388","GSM537388","primary","GEO"
"GSM537389","GSM537389","primary","GEO"
"GSM537390","GSM537390","primary","GEO"
"GSM537391","GSM537391","metastasis","GEO"
"GSM537392","GSM537392","primary","GEO"
"GSM537393","GSM537393","primary","GEO"
"GSM537394","GSM537394","metastasis","GEO"
"GSM537395","GSM537395","primary","GEO"
"GSM537396","GSM537396","metastasis","GEO"
"GSM537397","GSM537397","metastasis","GEO"
"GSM537398","GSM537398","primary","GEO"
"GSM537399","GSM537399","primary","GEO"
"GSM537400","GSM537400","primary","GEO"
"GSM537401","GSM537401","metastasis","GEO"
"GSM537402","GSM537402","primary","GEO"
"GSM537403","GSM537403","metastasis","GEO"
"GSM537404","GSM537404","primary","GEO"
"GSM537405","GSM537405","primary","GEO"
"GSM537406","GSM537406","metastasis","GEO"
"GSM537407","GSM537407","primary","GEO"
"GSM537408","GSM537408","primary","GEO"
"GSM537409","GSM537409","primary","GEO"
"GSM537410","GSM537410","primary","GEO"
"GSM537411","GSM537411","metastasis","GEO"
"GSM537412","GSM537412","metastasis","GEO"
"GSM537413","GSM537413","primary","GEO"
"GSM537414","GSM537414","metastasis","GEO"
"GSM537415","GSM537415","primary","GEO"
"GSM537416","GSM537416","metastasis","GEO"
"GSM537417","GSM537417","primary","GEO"
"GSM537418","GSM537418","primary","GEO"
"GSM537419","GSM537419","metastasis","GEO"
"GSM537420","GSM537420","metastasis","GEO"
"GSM537421","GSM537421","primary","GEO"
"GSM537422","GSM537422","primary","GEO"
"GSM537423","GSM537423","primary","GEO"
"GSM537424","GSM537424","primary","GEO"
"GSM537425","GSM537425","primary","GEO"
"GSM537426","GSM537426","metastasis","GEO"
"GSM537427","GSM537427","primary","GEO"
"GSM537428","GSM537428","primary","GEO"
"GSM537429","GSM537429","metastasis","GEO"
"GSM537430","GSM537430","primary","GEO"
"GSM537431","GSM537431","metastasis","GEO"
"GSM537432","GSM537432","primary","GEO"
"GSM537433","GSM537433","metastasis","GEO"
"GSM452552","GSM452552","primary","GEO"
"GSM452553","GSM452553","primary","GEO"
"GSM452554","GSM452554","primary","GEO"
"GSM452555","GSM452555","primary","GEO"
"GSM452556","GSM452556","metastasis","GEO"
"GSM452557","GSM452557","primary","GEO"
"GSM452558","GSM452558","metastasis","GEO"
"GSM452559","GSM452559","metastasis","GEO"
"GSM452560","GSM452560","primary","GEO"
"GSM452561","GSM452561","primary","GEO"
"GSM452562","GSM452562","metastasis","GEO"
"GSM452563","GSM452563","metastasis","GEO"
"GSM452564","GSM452564","primary","GEO"
"GSM452565","GSM452565","metastasis","GEO"
"GSM452566","GSM452566","primary","GEO"
"GSM452567","GSM452567","primary","GEO"
"GSM452568","GSM452568","primary","GEO"
"GSM452569","GSM452569","primary","GEO"
"GSM452570","GSM452570","metastasis","GEO"
"GSM452571","GSM452571","metastasis","GEO"
"GSM452572","GSM452572","primary","GEO"
"GSM452573","GSM452573","primary","GEO"
"GSM452574","GSM452574","primary","GEO"
"GSM452575","GSM452575","primary","GEO"
"GSM452576","GSM452576","primary","GEO"
"GSM452577","GSM452577","primary","GEO"
"GSM452578","GSM452578","metastasis","GEO"
"GSM452579","GSM452579","metastasis","GEO"
"GSM452580","GSM452580","primary","GEO"
"GSM452581","GSM452581","primary","GEO"
"GSM452582","GSM452582","primary","GEO"
"GSM452583","GSM452583","metastasis","GEO"
"GSM452584","GSM452584","metastasis","GEO"
"GSM452585","GSM452585","primary","GEO"
"GSM452586","GSM452586","metastasis","GEO"
"GSM452587","GSM452587","primary","GEO"
"GSM452588","GSM452588","metastasis","GEO"
"GSM452589","GSM452589","primary","GEO"
"GSM452590","GSM452590","metastasis","GEO"
"GSM452591","GSM452591","metastasis","GEO"
"GSM452592","GSM452592","primary","GEO"
"GSM452593","GSM452593","primary","GEO"
"GSM452594","GSM452594","primary","GEO"
"GSM452595","GSM452595","primary","GEO"
"GSM452596","GSM452596","primary","GEO"
"GSM452597","GSM452597","primary","GEO"
"GSM452598","GSM452598","metastasis","GEO"
"GSM452599","GSM452599","metastasis","GEO"
"GSM452600","GSM452600","primary","GEO"
"GSM452601","GSM452601","metastasis","GEO"
"GSM452602","GSM452602","primary","GEO"
"GSM452603","GSM452603","primary","GEO"
"GSM452604","GSM452604","metastasis","GEO"
"GSM452605","GSM452605","metastasis","GEO"
"GSM452606","GSM452606","metastasis","GEO"
"GSM452607","GSM452607","metastasis","GEO"
"GSM452608","GSM452608","primary","GEO"
"GSM452609","GSM452609","primary","GEO"
"GSM452610","GSM452610","metastasis","GEO"
"GSM452611","GSM452611","primary","GEO"
"GSM452612","GSM452612","primary","GEO"
"GSM452613","GSM452613","primary","GEO"
"GSM452614","GSM452614","primary","GEO"
"GSM452615","GSM452615","metastasis","GEO"
"GSM452616","GSM452616","metastasis","GEO"
"GSM452617","GSM452617","primary","GEO"
"GSM452618","GSM452618","primary","GEO"
"GSM452619","GSM452619","metastasis","GEO"
"GSM452620","GSM452620","primary","GEO"
"GSM452621","GSM452621","metastasis","GEO"
"GSM452622","GSM452622","primary","GEO"
"GSM452623","GSM452623","primary","GEO"
"GSM452624","GSM452624","metastasis","GEO"
"GSM452625","GSM452625","primary","GEO"
"GSM452626","GSM452626","primary","GEO"
"GSM452627","GSM452627","primary","GEO"
"GSM452628","GSM452628","metastasis","GEO"
"SER-SILU-CC-P0004","SER-SILU-CC-P0004","primary","TCGA"
"SER-SILU-CC-P0005","SER-SILU-CC-P0005","primary","TCGA"
"SER-SILU-CC-P0007","SER-SILU-CC-P0007","primary","TCGA"
"SER-SILU-CC-P0010","SER-SILU-CC-P0010","primary","TCGA"
"SER-SILU-CC-P0011","SER-SILU-CC-P0011","primary","TCGA"
"SER-SILU-CC-P0013","SER-SILU-CC-P0013","primary","TCGA"
"SER-SILU-CC-P0016","SER-SILU-CC-P0016","primary","TCGA"
"SER-SILU-CC-P0018","SER-SILU-CC-P0018","primary","TCGA"
"SER-SILU-CC-P0020","SER-SILU-CC-P0020","primary","TCGA"
"SER-SILU-CC-P0023","SER-SILU-CC-P0023","primary","TCGA"
"SER-SILU-CC-P0024","SER-SILU-CC-P0024","primary","TCGA"
"SER-SILU-CC-P0027","SER-SILU-CC-P0027","primary","TCGA"
"SER-SILU-CC-P0030","SER-SILU-CC-P0030","primary","TCGA"
"SER-SILU-CC-P0031","SER-SILU-CC-P0031","primary","TCGA"
"SER-SILU-CC-P0032","SER-SILU-CC-P0032","primary","TCGA"
"SER-SILU-CC-P0037","SER-SILU-CC-P0037","primary","TCGA"
"SER-SILU-CC-P0040","SER-SILU-CC-P0040","primary","TCGA"
"SER-SILU-CC-P0045","SER-SILU-CC-P0045","primary","TCGA"
"SER-SILU-CC-P0047","SER-SILU-CC-P0047","primary","TCGA"
"SER-SILU-CC-P0050","SER-SILU-CC-P0050","metastasis","TCGA"
"SER-SILU-CC-P0051","SER-SILU-CC-P0051","primary","TCGA"
"SER-SILU-CC-P0053","SER-SILU-CC-P0053","primary","TCGA"
"SER-SILU-CC-P0056","SER-SILU-CC-P0056","primary","TCGA"
"SER-SILU-CC-P0057","SER-SILU-CC-P0057","metastasis","TCGA"
"SER-SILU-CC-P0058","SER-SILU-CC-P0058","primary","TCGA"
"SER-SILU-CC-P0061","SER-SILU-CC-P0061","primary","TCGA"
"SER-SILU-CC-P0062","SER-SILU-CC-P0062","primary","TCGA"
"SER-SILU-CC-P0063","SER-SILU-CC-P0063","primary","TCGA"
"SER-SILU-CC-P0070","SER-SILU-CC-P0070","primary","TCGA"
"SER-SILU-CC-P0074","SER-SILU-CC-P0074","primary","TCGA"
"SER-SILU-CC-P0075","SER-SILU-CC-P0075","primary","TCGA"
"SER-SILU-CC-P0076","SER-SILU-CC-P0076","metastasis","TCGA"
"SER-SILU-CC-P0079","SER-SILU-CC-P0079","primary","TCGA"
"SER-SILU-CC-P0080","SER-SILU-CC-P0080","primary","TCGA"
"SER-SILU-CC-P0084","SER-SILU-CC-P0084","primary","TCGA"
"SER-SILU-CC-P0100","SER-SILU-CC-P0100","primary","TCGA"
"SER-SILU-CC-P0102","SER-SILU-CC-P0102","primary","TCGA"
"SER-SILU-CC-P0104","SER-SILU-CC-P0104","primary","TCGA"
"SER-SILU-CC-P0106","SER-SILU-CC-P0106","primary","TCGA"
"SER-SILU-CC-P0107","SER-SILU-CC-P0107","primary","TCGA"
"SER-SILU-CC-P0109","SER-SILU-CC-P0109","metastasis","TCGA"
"SER-SILU-CC-P0110","SER-SILU-CC-P0110","metastasis","TCGA"
"SER-SILU-CC-P0112","SER-SILU-CC-P0112","metastasis","TCGA"
"SER-SILU-CC-P0113","SER-SILU-CC-P0113","primary","TCGA"
"SER-SILU-CC-P0114","SER-SILU-CC-P0114","primary","TCGA"
"SER-SILU-CC-P0116","SER-SILU-CC-P0116","primary","TCGA"
"SER-SILU-CC-P0125","SER-SILU-CC-P0125","primary","TCGA"
"SER-SILU-CC-P0127","SER-SILU-CC-P0127","primary","TCGA"
"SER-SILU-CC-P0128","SER-SILU-CC-P0128","primary","TCGA"
"SER-SILU-CC-P0129","SER-SILU-CC-P0129","metastasis","TCGA"
"SER-SILU-CC-P0131","SER-SILU-CC-P0131","primary","TCGA"
"SER-SILU-CC-P0132","SER-SILU-CC-P0132","primary","TCGA"
"SER-SILU-CC-P0133","SER-SILU-CC-P0133","primary","TCGA"
"SER-SILU-CC-P0134","SER-SILU-CC-P0134","primary","TCGA"
"SER-SILU-CC-P0135","SER-SILU-CC-P0135","primary","TCGA"
"SER-SILU-CC-P0136","SER-SILU-CC-P0136","primary","TCGA"
"SER-SILU-CC-P0137","SER-SILU-CC-P0137","primary","TCGA"
"SER-SILU-CC-P0138","SER-SILU-CC-P0138","primary","TCGA"
"SER-SILU-CC-P0140","SER-SILU-CC-P0140","primary","TCGA"
"SER-SILU-CC-P0142","SER-SILU-CC-P0142","primary","TCGA"
"SER-SILU-CC-P0143","SER-SILU-CC-P0143","primary","TCGA"
"SER-SILU-CC-P0144","SER-SILU-CC-P0144","primary","TCGA"
"SER-SILU-CC-P0145","SER-SILU-CC-P0145","primary","TCGA"
"SER-SILU-CC-P0147","SER-SILU-CC-P0147","primary","TCGA"
"SER-SILU-CC-P0148","SER-SILU-CC-P0148","primary","TCGA"
"SER-SILU-CC-P0149","SER-SILU-CC-P0149","primary","TCGA"
"SER-SILU-CC-P0156","SER-SILU-CC-P0156","primary","TCGA"
"SER-SILU-CC-P0157","SER-SILU-CC-P0157","primary","TCGA"
"SER-SILU-CC-P0158","SER-SILU-CC-P0158","primary","TCGA"
"SER-SILU-CC-P0159","SER-SILU-CC-P0159","metastasis","TCGA"
"SER-SILU-CC-P0161","SER-SILU-CC-P0161","primary","TCGA"
"SER-SILU-CC-P0165","SER-SILU-CC-P0165","primary","TCGA"
"SER-SILU-CC-P0167","SER-SILU-CC-P0167","metastasis","TCGA"
"SER-SILU-CC-P0169","SER-SILU-CC-P0169","primary","TCGA"
"SER-SILU-CC-P0173","SER-SILU-CC-P0173","primary","TCGA"
"SER-SILU-CC-P0174","SER-SILU-CC-P0174","primary","TCGA"
"SER-SILU-CC-P0176","SER-SILU-CC-P0176","primary","TCGA"
"SER-SILU-CC-P0178","SER-SILU-CC-P0178","primary","TCGA"
"SER-SILU-CC-P0181","SER-SILU-CC-P0181","primary","TCGA"
"SER-SILU-CC-P0185","SER-SILU-CC-P0185","primary","TCGA"
"SER-SILU-CC-P0188","SER-SILU-CC-P0188","primary","TCGA"
"SER-SILU-CC-P0190","SER-SILU-CC-P0190","primary","TCGA"
"SER-SILU-CC-P0191","SER-SILU-CC-P0191","primary","TCGA"
"SER-SILU-CC-P0192","SER-SILU-CC-P0192","primary","TCGA"
"SER-SILU-CC-P0193","SER-SILU-CC-P0193","primary","TCGA"
"SER-SILU-CC-P0198","SER-SILU-CC-P0198","primary","TCGA"
"SER-SILU-CC-P0200","SER-SILU-CC-P0200","primary","TCGA"
"SER-SILU-CC-P0201","SER-SILU-CC-P0201","primary","TCGA"
"SER-SILU-CC-P0205","SER-SILU-CC-P0205","primary","TCGA"
"SER-SILU-CC-P0207","SER-SILU-CC-P0207","primary","TCGA"
"SER-SILU-CC-P0210","SER-SILU-CC-P0210","primary","TCGA"
"SER-SILU-CC-P0211","SER-SILU-CC-P0211","primary","TCGA"
"SER-SILU-CC-P0212","SER-SILU-CC-P0212","primary","TCGA"
"SER-SILU-CC-P0214","SER-SILU-CC-P0214","primary","TCGA"
"SER-SILU-CC-P0215","SER-SILU-CC-P0215","primary","TCGA"
"SER-SILU-CC-P0218","SER-SILU-CC-P0218","primary","TCGA"
"SER-SILU-CC-P0219","SER-SILU-CC-P0219","primary","TCGA"
"SER-SILU-CC-P0223","SER-SILU-CC-P0223","primary","TCGA"
"SER-SILU-CC-P0225","SER-SILU-CC-P0225","primary","TCGA"
"SER-SILU-CC-P0228","SER-SILU-CC-P0228","primary","TCGA"
"SER-SILU-CC-P0229","SER-SILU-CC-P0229","primary","TCGA"
"SER-SILU-CC-P0231","SER-SILU-CC-P0231","primary","TCGA"
"SER-SILU-CC-P0232","SER-SILU-CC-P0232","primary","TCGA"
"SER-SILU-CC-P0233","SER-SILU-CC-P0233","primary","TCGA"
"SER-SILU-CC-P0234","SER-SILU-CC-P0234","primary","TCGA"
"SER-SILU-CC-P0236","SER-SILU-CC-P0236","primary","TCGA"
"SER-SILU-CC-P0238","SER-SILU-CC-P0238","primary","TCGA"
"SER-SILU-CC-P0242","SER-SILU-CC-P0242","primary","TCGA"
"SER-SILU-CC-P0246","SER-SILU-CC-P0246","primary","TCGA"
"SER-SILU-CC-P0247","SER-SILU-CC-P0247","metastasis","TCGA"
"SER-SILU-CC-P0248","SER-SILU-CC-P0248","primary","TCGA"
"SER-SILU-CC-P0252","SER-SILU-CC-P0252","primary","TCGA"
"SER-SILU-CC-P0253","SER-SILU-CC-P0253","primary","TCGA"
"SER-SILU-CC-P0254","SER-SILU-CC-P0254","primary","TCGA"
"SER-SILU-CC-P0256","SER-SILU-CC-P0256","primary","TCGA"
"SER-SILU-CC-P0258","SER-SILU-CC-P0258","primary","TCGA"
"SER-SILU-CC-P0260","SER-SILU-CC-P0260","primary","TCGA"
"SER-SILU-CC-P0261","SER-SILU-CC-P0261","primary","TCGA"
"SER-SILU-CC-P0265","SER-SILU-CC-P0265","primary","TCGA"
"SER-SILU-CC-P0266","SER-SILU-CC-P0266","primary","TCGA"
"SER-SILU-CC-P0268","SER-SILU-CC-P0268","primary","TCGA"
"SER-SILU-CC-P0269","SER-SILU-CC-P0269","primary","TCGA"
"SER-SILU-CC-P0270","SER-SILU-CC-P0270","primary","TCGA"
"SER-SILU-CC-P0271","SER-SILU-CC-P0271","primary","TCGA"
"SER-SILU-CC-P0273","SER-SILU-CC-P0273","primary","TCGA"
"SER-SILU-CC-P0274","SER-SILU-CC-P0274","primary","TCGA"
"SER-SILU-CC-P0275","SER-SILU-CC-P0275","primary","TCGA"
"SER-SILU-CC-P0276","SER-SILU-CC-P0276","primary","TCGA"
"SER-SILU-CC-P0278","SER-SILU-CC-P0278","primary","TCGA"
"SER-SILU-CC-P0280","SER-SILU-CC-P0280","primary","TCGA"
"SER-SILU-CC-P0281","SER-SILU-CC-P0281","primary","TCGA"
"SER-SILU-CC-P0283","SER-SILU-CC-P0283","primary","TCGA"
"SER-SILU-CC-P0286","SER-SILU-CC-P0286","primary","TCGA"
"SER-SILU-CC-P0287","SER-SILU-CC-P0287","primary","TCGA"
"SER-SILU-CC-P0288","SER-SILU-CC-P0288","primary","TCGA"
"SER-SILU-CC-P0292","SER-SILU-CC-P0292","primary","TCGA"
"SER-SILU-CC-P0293","SER-SILU-CC-P0293","primary","TCGA"
"SER-SILU-CC-P0294","SER-SILU-CC-P0294","primary","TCGA"
"SER-SILU-CC-P0295","SER-SILU-CC-P0295","primary","TCGA"
"SER-SILU-CC-P0297","SER-SILU-CC-P0297","primary","TCGA"
"SER-SILU-CC-P0299","SER-SILU-CC-P0299","primary","TCGA"
"SER-SILU-CC-P0305","SER-SILU-CC-P0305","metastasis","TCGA"
"SER-SILU-CC-P0309","SER-SILU-CC-P0309","primary","TCGA"
"SER-SILU-CC-P0310","SER-SILU-CC-P0310","primary","TCGA"
"SER-SILU-CC-P0311","SER-SILU-CC-P0311","primary","TCGA"
"SER-SILU-CC-P0313","SER-SILU-CC-P0313","primary","TCGA"
"SER-SILU-CC-P0314","SER-SILU-CC-P0314","metastasis","TCGA"
"SER-SILU-CC-P0319","SER-SILU-CC-P0319","primary","TCGA"
"SER-SILU-CC-P0320","SER-SILU-CC-P0320","primary","TCGA"
"SER-SILU-CC-P0322","SER-SILU-CC-P0322","primary","TCGA"
"SER-SILU-CC-P0323","SER-SILU-CC-P0323","primary","TCGA"
"SER-SILU-CC-P0325","SER-SILU-CC-P0325","metastasis","TCGA"
"SER-SILU-CC-P0326","SER-SILU-CC-P0326","primary","TCGA"
"SER-SILU-CC-P0327","SER-SILU-CC-P0327","primary","TCGA"
"SER-SILU-CC-P0328","SER-SILU-CC-P0328","primary","TCGA"
"SER-SILU-CC-P0329","SER-SILU-CC-P0329","primary","TCGA"
"SER-SILU-CC-P0330","SER-SILU-CC-P0330","primary","TCGA"
"SER-SILU-CC-P0331","SER-SILU-CC-P0331","primary","TCGA"
"SER-SILU-CC-P0332","SER-SILU-CC-P0332","primary","TCGA"
"SER-SILU-CC-P0333","SER-SILU-CC-P0333","primary","TCGA"
"SER-SILU-CC-P0334","SER-SILU-CC-P0334","primary","TCGA"
"SER-SILU-CC-P0335","SER-SILU-CC-P0335","primary","TCGA"
"SER-SILU-CC-P0339","SER-SILU-CC-P0339","primary","TCGA"
"SER-SILU-CC-P0340","SER-SILU-CC-P0340","primary","TCGA"
"SER-SILU-CC-P0341","SER-SILU-CC-P0341","primary","TCGA"
"SER-SILU-CC-P0342","SER-SILU-CC-P0342","primary","TCGA"
"SER-SILU-CC-P0343","SER-SILU-CC-P0343","primary","TCGA"
"SER-SILU-CC-P0344","SER-SILU-CC-P0344","primary","TCGA"
"SER-SILU-CC-P0345","SER-SILU-CC-P0345","primary","TCGA"
"SER-SILU-CC-P0346","SER-SILU-CC-P0346","primary","TCGA"
"SER-SILU-CC-P0349","SER-SILU-CC-P0349","primary","TCGA"
"SER-SILU-CC-P0351","SER-SILU-CC-P0351","primary","TCGA"
"SER-SILU-CC-P0352","SER-SILU-CC-P0352","primary","TCGA"
"SER-SILU-CC-P0353","SER-SILU-CC-P0353","primary","TCGA"
"SER-SILU-CC-P0354","SER-SILU-CC-P0354","primary","TCGA"
"SER-SILU-CC-P0357","SER-SILU-CC-P0357","primary","TCGA"
"SER-SILU-CC-P0360","SER-SILU-CC-P0360","primary","TCGA"
"SER-SILU-CC-P0361","SER-SILU-CC-P0361","primary","TCGA"
"SER-SILU-CC-P0366","SER-SILU-CC-P0366","primary","TCGA"
"SER-SILU-CC-P0368","SER-SILU-CC-P0368","primary","TCGA"
"SER-SILU-CC-P0369","SER-SILU-CC-P0369","primary","TCGA"
"SER-SILU-CC-P0370","SER-SILU-CC-P0370","primary","TCGA"
"SER-SILU-CC-P0372","SER-SILU-CC-P0372","primary","TCGA"
"SER-SILU-CC-P0375","SER-SILU-CC-P0375","primary","TCGA"
"SER-SILU-CC-P0377","SER-SILU-CC-P0377","primary","TCGA"
"SER-SILU-CC-P0386","SER-SILU-CC-P0386","primary","TCGA"
"SER-SILU-CC-P0387","SER-SILU-CC-P0387","primary","TCGA"
"SER-SILU-CC-P0388","SER-SILU-CC-P0388","primary","TCGA"
"SER-SILU-CC-P0389","SER-SILU-CC-P0389","primary","TCGA"
"SER-SILU-CC-P0390","SER-SILU-CC-P0390","primary","TCGA"
"SER-SILU-CC-P0391","SER-SILU-CC-P0391","primary","TCGA"
"SER-SILU-CC-P0392","SER-SILU-CC-P0392","primary","TCGA"
"SER-SILU-CC-P0393","SER-SILU-CC-P0393","primary","TCGA"
"SER-SILU-CC-P0395","SER-SILU-CC-P0395","primary","TCGA"
"SER-SILU-CC-P0396","SER-SILU-CC-P0396","primary","TCGA"
"SER-SILU-CC-P0397","SER-SILU-CC-P0397","primary","TCGA"
"SER-SILU-CC-P0398","SER-SILU-CC-P0398","primary","TCGA"
"SER-SILU-CC-P0400","SER-SILU-CC-P0400","primary","TCGA"
"SER-SILU-CC-P0401","SER-SILU-CC-P0401","primary","TCGA"
"SER-SILU-CC-P0402","SER-SILU-CC-P0402","primary","TCGA"
"SER-SILU-CC-P0403","SER-SILU-CC-P0403","primary","TCGA"
"SER-SILU-CC-P0404","SER-SILU-CC-P0404","primary","TCGA"
"SER-SILU-CC-P0406","SER-SILU-CC-P0406","primary","TCGA"
"SER-SILU-CC-P0407","SER-SILU-CC-P0407","primary","TCGA"
"SER-SILU-CC-P0408","SER-SILU-CC-P0408","primary","TCGA"
"SER-SILU-CC-P0410","SER-SILU-CC-P0410","primary","TCGA"
"SER-SILU-CC-P0413","SER-SILU-CC-P0413","primary","TCGA"
"SER-SILU-CC-P0415","SER-SILU-CC-P0415","primary","TCGA"
"SER-SILU-CC-P0417","SER-SILU-CC-P0417","primary","TCGA"
"SER-SILU-CC-P0418","SER-SILU-CC-P0418","primary","TCGA"
"SER-SILU-CC-P0420","SER-SILU-CC-P0420","primary","TCGA"
"SER-SILU-CC-P0422","SER-SILU-CC-P0422","primary","TCGA"
"SER-SILU-CC-P0424","SER-SILU-CC-P0424","primary","TCGA"
"SER-SILU-CC-P0427","SER-SILU-CC-P0427","primary","TCGA"
"SER-SILU-CC-P0428","SER-SILU-CC-P0428","primary","TCGA"
"SER-SILU-CC-P0429","SER-SILU-CC-P0429","primary","TCGA"
"SER-SILU-CC-P0431","SER-SILU-CC-P0431","primary","TCGA"
"SER-SILU-CC-P0433","SER-SILU-CC-P0433","primary","TCGA"
"SER-SILU-CC-P0434","SER-SILU-CC-P0434","primary","TCGA"
"SER-SILU-CC-P0435","SER-SILU-CC-P0435","primary","TCGA"
"SER-SILU-CC-P0439","SER-SILU-CC-P0439","primary","TCGA"
"SER-SILU-CC-P0440","SER-SILU-CC-P0440","primary","TCGA"
"SER-SILU-CC-P0441","SER-SILU-CC-P0441","primary","TCGA"
"SER-SILU-CC-P0442","SER-SILU-CC-P0442","primary","TCGA"
"SER-SILU-CC-P0446","SER-SILU-CC-P0446","primary","TCGA"
"SER-SILU-CC-P0450","SER-SILU-CC-P0450","primary","TCGA"
"SER-SILU-CC-P0451","SER-SILU-CC-P0451","primary","TCGA"
"CRC0054LMH0000000000R02000","CRC0054LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0057LMH0000000000R02000","CRC0057LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0072LMH0000000000R01000","CRC0072LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0079LMH0000000000R02000","CRC0079LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0081LMH0000000000R03000","CRC0081LMH0000000000R03000","metastasis","CRLM Dataset"
"CRC0115LMH0000000000R01000","CRC0115LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0165LMH0000000000R01000","CRC0165LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0207LMH0000000000R01000","CRC0207LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0290PRH0000000000R09000","CRC0290PRH0000000000R09000","primary","CRLM Dataset"
"CRC0431LMH0000000000R02000","CRC0431LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0539LMH0000000000R01000","CRC0539LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC1502LMH0000000000R02000","CRC1502LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0031LMH0000000000R02000","CRC0031LMH0000000000R02000","metastasis","CRLM Dataset"
"CRC0071LMH0000000000R01000","CRC0071LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0071PRH0000000000R06000","CRC0071PRH0000000000R06000","primary","CRLM Dataset"
"CRC0094LMH0000000000R01000","CRC0094LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0094PRH0000000000R01000","CRC0094PRH0000000000R01000","primary","CRLM Dataset"
"CRC0195PRH0000000000R01000","CRC0195PRH0000000000R01000","primary","CRLM Dataset"
"CRC0234PRH0000000000R01000","CRC0234PRH0000000000R01000","primary","CRLM Dataset"
"CRC0238PRH0000000000R01000","CRC0238PRH0000000000R01000","primary","CRLM Dataset"
"CRC0256PRH0000000000R01000","CRC0256PRH0000000000R01000","primary","CRLM Dataset"
"CRC0259PRH0000000000R01000","CRC0259PRH0000000000R01000","primary","CRLM Dataset"
"CRC0263PRH0000000000R01000","CRC0263PRH0000000000R01000","primary","CRLM Dataset"
"CRC0267PRH0000000000R01000","CRC0267PRH0000000000R01000","primary","CRLM Dataset"
"CRC0269PRH0000000000R01000","CRC0269PRH0000000000R01000","primary","CRLM Dataset"
"CRC0272PRH0000000000R01000","CRC0272PRH0000000000R01000","primary","CRLM Dataset"
"CRC0315PRH0000000000R10000","CRC0315PRH0000000000R10000","primary","CRLM Dataset"
"CRC0333LMH0000000000R01000","CRC0333LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0340PRH0000000000R01000","CRC0340PRH0000000000R01000","primary","CRLM Dataset"
"CRC0360PRH0000000000R01000","CRC0360PRH0000000000R01000","primary","CRLM Dataset"
"CRC0373PRH0000000000R01000","CRC0373PRH0000000000R01000","primary","CRLM Dataset"
"CRC0374PRH0000000000R01000","CRC0374PRH0000000000R01000","primary","CRLM Dataset"
"CRC0381PRH0000000000R01000","CRC0381PRH0000000000R01000","primary","CRLM Dataset"
"CRC0384PRH0000000000R01000","CRC0384PRH0000000000R01000","primary","CRLM Dataset"
"CRC0393PRH0000000000R01000","CRC0393PRH0000000000R01000","primary","CRLM Dataset"
"CRC0401PRH0000000000R01000","CRC0401PRH0000000000R01000","primary","CRLM Dataset"
"CRC0428PRH0000000000R01000","CRC0428PRH0000000000R01000","primary","CRLM Dataset"
"CRC0438LMH0000000000R05000","CRC0438LMH0000000000R05000","metastasis","CRLM Dataset"
"CRC0439PRH0000000000R01000","CRC0439PRH0000000000R01000","primary","CRLM Dataset"
"CRC0445PRH0000000000R01000","CRC0445PRH0000000000R01000","primary","CRLM Dataset"
"CRC0460PRH0000000000R01000","CRC0460PRH0000000000R01000","primary","CRLM Dataset"
"CRC0463PRH0000000000R01000","CRC0463PRH0000000000R01000","primary","CRLM Dataset"
"CRC0466PRH0000000000R01000","CRC0466PRH0000000000R01000","primary","CRLM Dataset"
"CRC0468LMH0000000000R01000","CRC0468LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0468PRH0000000000R01000","CRC0468PRH0000000000R01000","primary","CRLM Dataset"
"CRC0474PRH0000000000R05000","CRC0474PRH0000000000R05000","primary","CRLM Dataset"
"CRC0481LMH0000000000R01000","CRC0481LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0481PRH0000000000R01000","CRC0481PRH0000000000R01000","primary","CRLM Dataset"
"CRC0498LMH0000000000R01000","CRC0498LMH0000000000R01000","metastasis","CRLM Dataset"
"CRC0498PRH0000000000R01000","CRC0498PRH0000000000R01000","primary","CRLM Dataset"
"CRC0500PRH0000000000R05000","CRC0500PRH0000000000R05000","primary","CRLM Dataset"
"CRC0501PRH0000000000R02000","CRC0501PRH0000000000R02000","primary","CRLM Dataset"
"CRC0506PRH0000000000R01000","CRC0506PRH0000000000R01000","primary","CRLM Dataset"
"CRC0547PRH0000000000R03000","CRC0547PRH0000000000R03000","primary","CRLM Dataset"
